tweets,img,label
dont like nni scared crying beginning tic lot,none,0
bgaygeminimoon angrybiackgiri lolita,http://pbs.twimg.com/media/ElsmCjgXYAE6G3p.jpg,0
okies happening nnwhy everyone talking weirdly,none,0
brt islamandlife two friends remind allah,none,0
bare nyah dying uwu nyou leaving right,none,1
bmy gothic lolita coord today happy halloween,http://pbs.twimg.com/media/ElsksNkWoAA9n50.jpg,1
brt melifaracco days years maga realdonaldtrump,http://pbs.twimg.com/tweet_video_thumb/Elqg3AnXIAAOfRX.jpg,0
sof ran kokichi hugging okie httpstcoofxtohbenz,none,0
bug wanted wear gothinc lolita dress today halloween hot,none,1
bultimatenavi joking,none,0
bpulled whispers silence halloween fun also got bring favorite lolita dress,none,1
brt nyxart witchy lolita adoptable interested spooky owoween nrt likes greatly appreciated thank,none,0
brt shedisease kitaakes junpei googling frantically difference goth emo difference goth emo lolita,none,0
bmy followers luck theres brand new post fancentro feed check httpstcoggvfercamj,none,1
apple eye well,none,1
boffering gothic lolita sleeves arachnofabulous earrings puppy ears ices ufo,none,0
btweetmommybop oreo donkey friends epstein weinstein clinton biden sniffing,none,1
byoosungsies dont like way word lolita included,none,0
sleeves butterfly sleeves rose garters earings,none,1
selling butterfly rose,none,1
brt jivke sweet lolita peach peachlookbook,http://pbs.twimg.com/media/EKrGOz3U0AAFkET.png,1
bcrybabitch showed song didnt say anything listening lolita,none,1
sorry confused nnwhat happening,none,0
heres linkkkkk,none,0
bwhat happened big bro,none,1
bwhat people offering goth lolita sleeves kitty crossbody nocturnal kitty earsnni might buy,none,1
bdebating selling lolita,none,0
like think tsukasa really likes dress nene lolita type fashion based tpa,none,1
bdecided wear sweet lolita tonightfirst time wearing angelic pretty dress httpstcomxawtanjwz,http://pbs.twimg.com/media/ElsgfqTWoAM-IYm.jpg,1
brt idontlovejingyi cuddly lolita adoptables based pastel option bid,none,0
boffering items noc gothic lolita sleeves arachnofabulous earrings puppy ears,none,1
btsqueendiana pleasuretgirl tslolita shemalesoncams,none,0
bshsllolita wait,none,0
bshsllolita lets lonely together,none,1
bultimatenavi could lonely uuuuuu,http://pbs.twimg.com/media/ElsfHmgXUAMoI_Y.jpg,1
boffering items noc gothic lolita sleeves arachnofabulous earrings puppy ears,none,1
bbig bro nnwhat saying smol head tilt sof,none,0
bbraids checked nnails almost checked nman checked nim really good place,none,1
brt darkyjoe halloween video call nyanssu angkasa thank finally meet rei agreed,none,0
bhey lolita hey,http://pbs.twimg.com/ext_tw_video_thumb/1179163640928194561/pu/img/U-Hb2efpTfUoQhf4.jpg,0
byou look like marilyn manson glasses worse ged interview shows dont know electoral,none,0
brt heyohsuga lolita actually baby cutest human alivennia says hernlolita understand,none,0
received delivery nnfrom lolitanto bunnykiyonni love loser,http://pbs.twimg.com/media/ElsdTbuUYAAFNjN.jpg,1
bwas voice,http://pbs.twimg.com/media/ElsdQtVXIAERNxy.jpg,0
bcannibawism hahsjannznwkdn thank living gothic ouji lolita dreams,none,1
blolita actually baby cutest human alivennia says hernlolita understand,none,0
brt sarahw years wondered sue lyon life veered sharply downward early stardom lolita,none,0
bthe astral dress wears made crimson black frills giving appearance elegant gothic lolita,none,1
wait lolita merry sticker arrive sashimilu,none,0
bcookielolita dpeendable eigghhhhhhtttt,none,0
brt majinscarlet lolita fashion super fucking pretty,none,1
brt xxtytyxz likes ill buy webcam stream lolita dress,none,1
received delivery nnfrom anonnto evillolita minecraft date love ahaha,http://pbs.twimg.com/media/ElscVhkU0AAOywt.jpg,1
btsqueendiana alenaostberg pleasuretgirl tslolita,none,0
brt shedisease kitaakes junpei googling frantically difference goth emo difference goth emo lolita,none,0
bkitaakes junpei googling frantically difference goth emo difference goth emo lolita,none,0
blolita fashion super fucking pretty,none,1
blovsercat offer gothic lolita sleeves arachnofabulous earrings magical witch hat nfor noc ears,none,1
bciinnamwon offer gothic lolita sleeves arachnofabulous earrings magical witch hat nfor noc ears,none,1
bkuroality offer gothic lolita sleeves arachnofabulous earrings magical witch hat nfor noc ears,none,1
bmaybeveux offer gothic lolita sleeves arachnofabulous earrings magical witch hat nfor noc ears,none,1
bcookiestiffany offer gothic lolita sleeves arachnofabulous earrings magical witch hat nfor noc ears,none,1
blolitaspicy bad bitch knew,none,1
bchrislexz offer gothic lolita sleeves arachnofabulous earrings magical witch hat nfor noc ears,none,1
blxvleyrxses offer gothic lolita sleeves arachnofabulous earrings magical witch hat httpstcorhemionhkb,none,1
broyalehigh dont enough time get lolita sleevesss,none,0
bgxnghqm offer noc gothic lolita sleeves arachnofabulous earrings maybe add,none,0
brt darkyjoe halloween video call nyanssu angkasa thank finally meet rei agreed,none,0
recently read liked clockwork orange lolita american psycho,none,1
bwould anybody trade nme gothic lolita sleeves arachnofabulous earrings nyou noc,none,1
brt darkyjoe halloween video call nyanssu angkasa thank finally meet rei agreed,none,0
brhupdatelog bought lolita sleeves witch hats sleeves rebel torsos,none,1
bterraterrific huge fan art ive following since early tumblr also black love httpstcobfdvkpczxw,none,1
bnaxuu nabokov design lolitas cover one subject emphatically opposed httpstcomrhbzkohcf,none,0
brt xxtytyxz likes ill buy webcam stream lolita dress,none,1
cross trading items weapons set crown soz goth lolita,none,0
bhalloween means legally allowed wear work egl lolita,http://pbs.twimg.com/media/ElsXl9uX0AAjc-n.jpg,1
blolita fashion cute aaaa,none,1
tiny garden garden dance classic lolita dress jsk free shipping worldwide search,none,1
brt darkyjoe halloween video call nyanssu angkasa thank finally meet rei agreed,none,0
bfavorite design lot personality cute lolita wardrobe last,none,1
bscientificecon lolita world,none,0
bnaxuu tbh history marketing lolita full gross stuff,none,0
brt arlahndo find soulmate dms,none,0
brt arlahndo someone lucky life,none,1
ate,none,0
bnunhyabusiness girl milla habit going pspspspspsps beasts men would normally run,none,1
bdiocanela many rich people angelina jolie bill gates called philanthropy,none,1
balso lolita literally stepfather trying fuck stepdaughter,none,1
bso thought would fun wear lolita halloween hour dress wanna take already,none,1
brt gumiteeth new edsh twt plz retweet nnsw cgw postinteract gore lov miku,none,1
bmillerindc realdonaldtrump story know likely lolita express filled httpstcoijrghcfycr,none,0
bunicorn gothic lolita miku anthony fauci service httpstcojqxhisbeey,none,0
bis martin amis blurb cover lolita really weird nodding scandalized assent,http://pbs.twimg.com/media/ElsR-hxU8AAQBXf.jpg,0
brt oceaninspace last cute lolita jester amp witchnhappy httpstcohlzorujwsi,http://pbs.twimg.com/media/ElqycA9XYAUUaJ_.jpg,0
brt turtlepawz nui killlakill lolita theme cutegirltober,http://pbs.twimg.com/media/ElVI3kVXEAEyjVi.png,0
yes looking goth lolita sleeves offering,none,1
bevery day remember much hate horny frat boys lolita,http://pbs.twimg.com/media/ElsQuLZUYAA-Qg8.jpg,1
banyone looking goth lolita sleeves shadow empress boots royal rebel boots batmoheels whole,none,1
brt sxmplyzoey giveaway time prize goth lolita sleeves sxmplyzoey,none,1
bcorpsehusband serenade ears,none,0
bcongratulations witch lolita lolitafashion kawaii,http://pbs.twimg.com/media/ElsQY1YX0AYMrwe.jpg,0
band people expect nice fuck theres obvious day reason voting theyre,none,1
blolitapluma forever,none,1
mad romanticizing lolita wearing generic costume,none,1
blolita witch look work today httpstcozfntfhzteu,http://pbs.twimg.com/media/ElsL7XaXgAIo5s8.jpg,0
bhttpstcojbykqvrvcznnokay wasnt lolita anna karenina skskskskskksks,none,1
beviltrashbear shows lust character made well httpstcoffeilgcdyj,http://pbs.twimg.com/media/ElsK5CeXYAAJl-z.jpg,1
bkatervohar kuroo loves,none,1
brt clownplushie one invader zim lolita coord dnloveliestlor,http://pbs.twimg.com/media/ElrpSgMXYAQy4St.jpg,0
byes made got goth lolita sleeves,http://pbs.twimg.com/media/ElsKTruWMAATJv_.jpg,0
brt barackobama dont boo vote happy halloween everybody,http://pbs.twimg.com/media/ElrkHAtXgAESMad.jpg,1
bshowgirl geniehybrid steampunk gothic lolita magician suit ideas,http://pbs.twimg.com/media/ElsKQyWXYAISRRf.jpg,0
baraituh abagofangrybees thank lolitabaroques rabbit circus,none,0
bgoldngracetrixr give second poofed came back waring frilly white lolita dress bonnet,none,0
